name,stint 1,stint 2,stint 3,stint 4 ,stint 5,stint 6,raceId
Jarno Trulli,Soft,Soft,Soft,Hard,,,845
Rubens Barrichello,Hard,Soft,Soft,Hard,Soft,,845
Timo Glock,Soft,Soft,Soft,Hard,,,845
Vitantonio Liuzzi,Soft,Soft,,,,,845
Narain Karthikeyan,Soft,Soft,Soft,Hard,,,845
Jerome d Ambrosio,Soft,Soft,Soft,Hard,,,845
Nick Heidfeld,Hard,Soft,Soft,Soft,,,845
Sebastian Vettel,Super-soft,Soft,Super-soft,,,,846
Jenson Button,Super-soft,Super-soft,Super-soft,Soft,Soft,,846
Mark Webber,Super-soft,Soft,Soft,Super-soft,,,846
Fernando Alonso,Super-soft,Soft,Soft,Super-soft,,,846
Michael Schumacher,Super-soft,Super-soft,,,,,846
Felipe Massa,Super-soft,Soft,,,,,846
Nico Rosberg,Super-soft,Soft,Soft,Super-soft,Super-soft,,846
Pastor Maldonado,Super-soft,Soft,Super-soft,Soft,,,846
Lewis Hamilton,Soft,Super-soft,Soft,Super-soft,,,846
Vitaly Petrov,Super-soft,Soft,,,,,846
Rubens Barrichello,Super-soft,Soft,Super-soft,Super-soft,,,846
Kamui Kobayashi,Soft,Super-soft,Super-soft,,,,846
Paul di Resta,Super-soft,Super-soft,Soft,Super-soft,,,846
Adrian Sutil,Soft,Super-soft,Super-soft,,,,846
Nick Heidfeld,Soft,Super-soft,Super-soft,Super-soft,,,846
Sebastien Buemi,Soft,Soft,Super-soft,Super-soft,,,846
Heikki Kovalainen,Super-soft,Soft,Soft,Super-soft,,,846
Jarno Trulli,Super-soft,Super-soft,Soft,Super-soft,,,846
Jaime Alguersuari,Soft,Soft,Super-soft,,,,846
Timo Glock,Super-soft,Soft,,,,,846
Jerome d Ambrosio,Soft,Super-soft,Soft,Soft,,,846
Narain Karthikeyan,Super-soft,Soft,Super-soft,Soft,,,846
Vitantonio Liuzzi,Soft,Super-soft,Super-soft,,,,846
Sebastian Vettel,Wet,Wet,Intermediate,Super-soft,,,847
Fernando Alonso,Wet,Intermediate,Wet,Intermediate,,,847
Felipe Massa,Wet,Wet,Intermediate,Super-soft,Super-soft,,847
Mark Webber,Wet,Wet,Intermediate,Super-soft,,,847
Lewis Hamilton,Wet,,,,,,847
Nico Rosberg,Wet,Intermediate,Wet,Intermediate,Super-soft,,847
Jenson Button,Wet,Intermediate,Wet,Intermediate,Intermediate,Super-soft,847
Michael Schumacher,Wet,Intermediate,Wet,Intermediate,Super-soft,,847
Nick Heidfeld,Wet,Intermediate,Super-soft,,,,847
Vitaly Petrov,Wet,Intermediate,Super-soft,,,,847
Paul di Resta,Wet,Intermediate,Intermediate,Intermediate,Super-soft,,847
Pastor Maldonado,Wet,Intermediate,Wet,Intermediate,Super-soft,Super-soft,847
Kamui Kobayashi,Wet,Intermediate,Super-soft,,,,847
Adrian Sutil,Wet,Intermediate,Wet,Intermediate,Intermediate,,847
Sebastien Buemi,Wet,Intermediate,Wet,Intermediate,Super-soft,,847
Rubens Barrichello,Wet,Intermediate,Wet,Intermediate,Super-soft,,847
Pedro de la Rosa,Wet,Intermediate,Super-soft,,,,847
Jaime Alguersuari,Wet,Wet,Intermediate,Super-soft,,,847
Jarno Trulli,Wet,Wet,Intermediate,Super-soft,Super-soft,,847
Heikki Kovalainen,Wet,Wet,,,,,847
Vitantonio Liuzzi,Wet,Wet,Intermediate,Super-soft,,,847
Timo Glock,Wet,Intermediate,Super-soft,,,,847
Narain Karthikeyan,Wet,Intermediate,Super-soft,,,,847
Jerome d Ambrosio,Wet,Intermediate,Wet,Intermediate,Super-soft,,847
Sebastian Vettel,Soft,Soft,Soft,Medium,,,848
Mark Webber,Soft,Soft,Soft,Medium,,,848
Lewis Hamilton,Soft,Soft,Soft,Medium,,,848
Fernando Alonso,Soft,Soft,Soft,Medium,,,848
Felipe Massa,Soft,Soft,Soft,Medium,,,848
Jenson Button,Soft,Soft,Soft,Medium,,,848
Nico Rosberg,Soft,Soft,Soft,Medium,,,848
Michael Schumacher,Soft,Soft,Soft,Medium,,,848
Nick Heidfeld,Soft,Soft,Soft,Medium,,,848
Adrian Sutil,Soft,Soft,Soft,Medium,,,848
Vitaly Petrov,Medium,Soft,Soft,Soft,,,848
Paul di Resta,Soft,Soft,Soft,Medium,,,848
Rubens Barrichello,Soft,Soft,Soft,Medium,,,848
Kamui Kobayashi,Soft,Medium,Soft,,,,848
Pastor Maldonado,Medium,Soft,Soft,Soft,,,848
Sergio Perez,Medium,Soft,,,,,848
Sebastien Buemi,Soft,Soft,Soft,Medium,,,848
Jaime Alguersuari,Soft,Soft,Medium,,,,848
Heikki Kovalainen,Soft,Soft,Soft,Medium,,,848
Jarno Trulli,Soft,Soft,Medium,,,,848
Timo Glock,Soft,Soft,Medium,,,,848
Vitantonio Liuzzi,Soft,Soft,Soft,Medium,,,848
Jerome d Ambrosio,Soft,Soft,Medium,,,,848
Narain Karthikeyan,Soft,Soft,Soft,Medium,,,848
Mark Webber,Intermediate,Soft,Soft,Soft,,,849
Sebastian Vettel,Intermediate,Soft,Soft,Soft,,,849
Fernando Alonso,Intermediate,Soft,Soft,Soft,,,849
Felipe Massa,Intermediate,Soft,Soft,Soft,,,849
Jenson Button,Intermediate,Soft,Soft,Soft,,,849
Paul di Resta,Intermediate,Soft,Soft,Hard,,,849
Pastor Maldonado,Intermediate,Soft,Soft,Soft,,,849
Kamui Kobayashi,Intermediate,Soft,Soft,,,,849
Nico Rosberg,Intermediate,Soft,Soft,,,,849
Lewis Hamilton,Intermediate,Soft,Soft,Soft,,,849
